"name","description","genres"
"강일권","웹진 [리드머] 편집장","힙합-알앤비&소울"
"공태희","OBS 제작1팀장","록-모던록"
"권범준","대중음악평론가","록-모던록"
"권석정","[텐아시아] 기자","재즈&크로스오버"
"권오성","대구MBC 음악감독 / DJ","재즈&크로스오버,포크"
"김고금평","[머니투데이] 기자","팝-댄스&일렉트로닉"
"김광현","[재즈피플] 편집장","재즈&크로스오버"
"김봉현","대중음악평론가","힙합-알앤비&소울"
"김봉환","벅스 음악컨텐츠팀 음악 PD","록-모던록"
"김성대","[음악취향Y] 필진/음악평론가","록-모던록"
"김성환","음악칼럼니스트","포크,팝-댄스&일렉트로닉"
"김원석","대중음악필자","록-모던록"
"김윤하","대중음악평론가","팝-댄스&일렉트로닉"
"김작가","대중음악평론가","록-모던록"
"김창남","성공회대 교수",""
"김학선","웹진 [보다] 편집장","록-모던록"
"김현준","재즈비평가","재즈&크로스오버"
"김홍기","다음카카오 뮤직","포크"
"김홍범","KBS 라디오 PD","록-모던록"
"나도원","음악평론가","록-모던록,포크"
"남성훈","흑인음악칼럼니스트","힙합-알앤비&소울"
"문정호","대중음악평론가","힙합-알앤비&소울"
"민일홍","KBS 라디오 PD","팝-댄스&일렉트로닉"
"민정홍","EBS 스페이스 공감 PD","재즈&크로스오버"
"박애경","대중음악평론가","재즈&크로스오버"
"박영웅","음악칼럼니스트","힙합-알앤비&소울"
"박은석","대중음악평론가","록-모던록"
"박정용","벨로주(veloso) 대표 / 온스테이지 기획위원","재즈&크로스오버,포크"
"박준흠","서울종합예술학교 교수 / 대중음악SOUND연구소장","재즈&크로스오버"
"박현준","경인방송 PDJ","록-모던록"
"배순탁","대중음악평론가","록-모던록"
"서병석","CBS 라디오 PD","록-모던록"
"서정민","[한겨레신문] 기자","팝-댄스&일렉트로닉"
"서정민갑","대중음악의견가","재즈&크로스오버,포크"
"성우진","대중음악평론가","팝-댄스&일렉트로닉,포크"
"송명하","[파라노이드] 편집장","록-모던록"
"신현준","성공회대 교수","팝-댄스&일렉트로닉"
"안민용","[재즈피플] 기자","재즈&크로스오버"
"안병진","경인방송 라디오 PD","팝-댄스&일렉트로닉"
"예동현","웹진 [리드머] 필진","힙합-알앤비&소울"
"유정훈","온라인 샵 [뮤직랜드] 컨텐츠 팀장","팝-댄스&일렉트로닉"
"윤호준","[음악취향Y] 필진 / 음악평론가","포크,팝-댄스&일렉트로닉"
"이경준","대중음악평론가","포크,록-모던록"
"이광훈","Radio KISS 편성 제작 팀장","힙합-알앤비&소울"
"이규탁","가톨릭대학교 한류대학원 강사","힙합-알앤비&소울"
"이대희","[프레시안] 기자","록-모던록"
"이민희","음악칼럼니스트","록-모던록"
"이병주","웹진 [리드머] 필진","힙합-알앤비&소울"
"이용우","웹진 [weiv] 에디터","록-모던록"
"이종민","대중음악 칼럼니스트","팝-댄스&일렉트로닉"
"이태훈","대중음악평론가","포크,재즈&크로스오버"
"이현기","네이버뮤직 차장","포크"
"임희윤","[동아일보] 기자","록-모던록"
"조원희","대중음악평론가","팝-댄스&일렉트로닉"
"조일동","[음악취향Y] 필진 / 음악평론가","재즈&크로스오버"
"차우진","웹진 [weiv] 에디터","팝-댄스&일렉트로닉"
"최규성","대중문화평론가","록-모던록"
"최규용","Radio KISS PD / 재즈 칼럼니스트","재즈&크로스오버"
"최민우","대중음악평론가","팝-댄스&일렉트로닉"
"최성욱","웹진 [weiv] 에디터","포크,재즈&크로스오버"
"최승우","월간 PAPER 객원 에디터","재즈&크로스오버"
"최지선","대중음악평론가","록-모던록"
"최지호","[음악취향Y] 필진","록-모던록"
"한동윤","대중음악평론가","힙합-알앤비&소울"
"한명륜","대중음악평론가","록-모던록"
"현지운","음악평론가","팝-댄스&일렉트로닉"
"홍지민","[서울신문] 기자","록-모던록"
